RunId,table_name,primary_key_val,Rejected_attributes,pass_attribute,Warning_attributes
local-1597558284674,AIT_Table_1,2,[AppID:null],"[AppFullName, AppShortName, AppDescription, AppOwner, AppStatus, ApplicationType, AppIntegrateWithOtherApps, AppUseWebTech, AppUseMainframe, DownstreamAppDepend, APP_ENV_AND_URL, AppContainsTIN]",""
local-1597558284674,AIT_Table_1,4,[AppID:null],"[AppShortName, AppDescription, AppOwner, AppStatus, ApplicationType, AppIntegrateWithOtherApps, AppUseWebTech, AppUseMainframe, DownstreamAppDepend, APP_ENV_AND_URL, AppContainsTIN]",[AppFullName:null]
local-1597558284674,AIT_Table_1,7,"","[AppID, AppFullName, AppShortName, AppDescription, AppOwner, ApplicationType, AppIntegrateWithOtherApps, AppUseWebTech, AppUseMainframe, DownstreamAppDepend, APP_ENV_AND_URL, AppContainsTIN]",[AppStatus:null]
local-1597558284674,AIT_Table_1,8,"","[AppID, AppShortName, AppDescription, AppOwner, ApplicationType, AppIntegrateWithOtherApps, AppUseWebTech, AppUseMainframe, DownstreamAppDepend, APP_ENV_AND_URL, AppContainsTIN]","[AppStatus:null, AppFullName:null]"
local-1597558284674,AIT_Table_1,11,"","[AppID, AppFullName, AppShortName, AppDescription, AppOwner, ApplicationType, AppIntegrateWithOtherApps, AppUseWebTech, AppUseMainframe, DownstreamAppDepend, APP_ENV_AND_URL, AppContainsTIN]",[AppStatus:null]
local-1597558284674,AIT_Table_1,13,"","[AppID, AppShortName, AppDescription, AppOwner, AppStatus, ApplicationType, AppIntegrateWithOtherApps, AppUseWebTech, AppUseMainframe, DownstreamAppDepend, APP_ENV_AND_URL, AppContainsTIN]",[AppFullName:null]
local-1597558284674,AIT_Table_1,31,"","[AppID, AppShortName, AppDescription, AppOwner, AppStatus, ApplicationType, AppIntegrateWithOtherApps, AppUseWebTech, AppUseMainframe, DownstreamAppDepend, APP_ENV_AND_URL, AppContainsTIN]",[AppFullName:null]
local-1597558284674,AIT_Table_1,33,"","[AppID, AppFullName, AppShortName, AppDescription, AppOwner, ApplicationType, AppIntegrateWithOtherApps, AppUseWebTech, AppUseMainframe, DownstreamAppDepend, APP_ENV_AND_URL, AppContainsTIN]",[AppStatus:null]
local-1597558284674,AIT_Table_1,40,"","[AppID, AppFullName, AppShortName, AppDescription, AppOwner, ApplicationType, AppIntegrateWithOtherApps, AppUseWebTech, AppUseMainframe, DownstreamAppDepend, APP_ENV_AND_URL, AppContainsTIN]",[AppStatus:null]
local-1597558284674,AIT_Table_1,45,"","[AppID, AppFullName, AppShortName, AppDescription, AppOwner, ApplicationType, AppIntegrateWithOtherApps, AppUseWebTech, AppUseMainframe, DownstreamAppDepend, APP_ENV_AND_URL, AppContainsTIN]",[AppStatus:null]
local-1597558284674,AIT_Table_1,52,"","[AppID, AppShortName, AppDescription, AppOwner, AppStatus, ApplicationType, AppIntegrateWithOtherApps, AppUseWebTech, AppUseMainframe, DownstreamAppDepend, APP_ENV_AND_URL, AppContainsTIN]",[AppFullName:null]
local-1597558284674,AIT_Table_1,73,"","[AppID, AppShortName, AppDescription, AppOwner, AppStatus, ApplicationType, AppIntegrateWithOtherApps, AppUseWebTech, AppUseMainframe, DownstreamAppDepend, APP_ENV_AND_URL, AppContainsTIN]",[AppFullName:null]
local-1597558284674,AIT_Table_1,78,"","[AppID, AppShortName, AppDescription, AppOwner, ApplicationType, AppIntegrateWithOtherApps, AppUseWebTech, AppUseMainframe, DownstreamAppDepend, APP_ENV_AND_URL, AppContainsTIN]","[AppStatus:null, AppFullName:null]"
local-1597558284674,AIT_Table_1,94,"","[AppID, AppShortName, AppDescription, AppOwner, AppStatus, ApplicationType, AppIntegrateWithOtherApps, AppUseWebTech, AppUseMainframe, DownstreamAppDepend, APP_ENV_AND_URL, AppContainsTIN]",[AppFullName:null]
local-1597558284674,AIT_Table_1,100,"","[AppID, AppShortName, AppDescription, AppOwner, AppStatus, ApplicationType, AppIntegrateWithOtherApps, AppUseWebTech, AppUseMainframe, DownstreamAppDepend, APP_ENV_AND_URL, AppContainsTIN]",[AppFullName:null]
local-1597558284674,AIT_Table_1,102,"","[AppID, AppShortName, AppDescription, AppOwner, AppStatus, ApplicationType, AppIntegrateWithOtherApps, AppUseWebTech, AppUseMainframe, DownstreamAppDepend, APP_ENV_AND_URL, AppContainsTIN]",[AppFullName:null]
local-1597558284674,AIT_Table_1,103,[AppID:null],"[AppFullName, AppShortName, AppDescription, AppOwner, AppStatus, ApplicationType, AppIntegrateWithOtherApps, AppUseWebTech, AppUseMainframe, DownstreamAppDepend, APP_ENV_AND_URL, AppContainsTIN]",""
